OBJECTID,CODIGO,PROVINCIA,CANTON ,DISTRITO,DIST_INDEX
267,2011,ALAJUELA,ALAJUELA,ALAJUELA,ALAJUELAALAJUELAALAJUELA
276,2013,ALAJUELA,ALAJUELA,CARRIZAL,ALAJUELAALAJUELACARRIZAL
274,20110,ALAJUELA,ALAJUELA,DESAMPARADOS,ALAJUELAALAJUELADESAMPARADOS
338,20113,ALAJUELA,ALAJUELA,GARITA,ALAJUELAALAJUELAGARITA
288,2015,ALAJUELA,ALAJUELA,GUACIMA,ALAJUELAALAJUELAGUACIMA
143,2019,ALAJUELA,ALAJUELA,RIO SEGUNDO,ALAJUELAALAJUELARIO SEGUNDO
330,2017,ALAJUELA,ALAJUELA,SABANILLA,ALAJUELAALAJUELASABANILLA
285,2014,ALAJUELA,ALAJUELA,SAN ANTONIO,ALAJUELAALAJUELASAN ANTONIO
329,2016,ALAJUELA,ALAJUELA,SAN ISIDRO,ALAJUELAALAJUELASAN ISIDRO
284,2012,ALAJUELA,ALAJUELA,SAN JOSE,ALAJUELAALAJUELASAN JOSE
289,2018,ALAJUELA,ALAJUELA,SAN RAFAEL,ALAJUELAALAJUELASAN RAFAEL
316,20114,ALAJUELA,ALAJUELA,SARAPIQUI,ALAJUELAALAJUELASARAPIQUI
332,20112,ALAJUELA,ALAJUELA,TAMBOR,ALAJUELAALAJUELATAMBOR
287,20111,ALAJUELA,ALAJUELA,TURRUCARES,ALAJUELAALAJUELATURRUCARES
281,2051,ALAJUELA,ATENAS,ATENAS,ALAJUELAATENASATENAS
283,2055,ALAJUELA,ATENAS,CONCEPCION,ALAJUELAATENASCONCEPCION
282,2058,,,,
396,2052,ALAJUELA,ATENAS,JESUS,ALAJUELAATENASJESUS
277,2053,ALAJUELA,ATENAS,MERCEDES,ALAJUELAATENASMERCEDES
325,2054,ALAJUELA,ATENAS,SAN ISIDRO,ALAJUELAATENASSAN ISIDRO
344,2056,ALAJUELA,ATENAS,SAN JOSE,ALAJUELAATENASSAN JOSE
278,2057,ALAJUELA,ATENAS,SANTA EULALIA,ALAJUELAATENASSANTA EULALIA
368,2038,ALAJUELA,GRECIA,BOLIVAR,ALAJUELAGRECIABOLIVAR
356,2031,ALAJUELA,GRECIA,GRECIA,ALAJUELAGRECIAGRECIA
280,2037,ALAJUELA,GRECIA,PUENTE DE PIEDRA,ALAJUELAGRECIAPUENTE DE PIEDRA
364,2036,ALAJUELA,GRECIA,RIO CUARTO,ALAJUELAGRECIARIO CUARTO
