CODIGO,INDEX,PROVINCIA,CANTON,DISTRITO,FUERA_TRABAJO,DENSIDAD,POB_URBANA,CARENCIA,POB_014,HOG_MUJER,HOG_HOMBRE,HOGARES_MONO,OCUPANTES,ESCOLA,ACUEDUCTO,logDENSIDAD,IDS,IDSC
1011,SAN JOSESAN JOSEEL CARMEN,SAN JOSE,SAN JOSE,EL CARMEN,2.702702703,1813.422819,100,6.158088235,10.0296077,39.0625,22.24264706,61.30514706,2.441176471,11.98050542,99.61612284,7.502971399,85.5,4
1012,SAN JOSESAN JOSEMERCED,SAN JOSE,SAN JOSE,MERCED,3.793706294,5352.401747,100,24.76747276,21.22868565,30.56072283,12.91522721,43.47595004,3.224820622,9.444810863,99.42763696,8.585300664,72.5,3
1013,SAN JOSESAN JOSEHOSPITAL,SAN JOSE,SAN JOSE,HOSPITAL,4.425921578,5701.183432,100,24.79170524,21.66061235,30.309202,12.81244214,43.12164414,3.462506943,8.848862336,99.74874372,8.648429052,68.6,3
1014,SAN JOSESAN JOSECATEDRAL,SAN JOSE,SAN JOSE,CATEDRAL,3.360151443,5600,100,15.03224372,16.96042053,35.00111185,17.54503002,52.54614187,2.852123638,10.47748218,99.81776765,8.630521877,75.5,3
1015,SAN JOSESAN JOSEZAPOTE,SAN JOSE,SAN JOSE,ZAPOTE,2.9231658,6554.035088,100,10.33044059,16.77820012,34.64619493,11.5987984,46.24499332,3.105640854,11.1955208,99.96617622,8.787836183,83.4,4
1016,SAN JOSESAN JOSESAN FRANCISCO DE DOS RIOS,SAN JOSE,SAN JOSE,SAN FRANCISCO DE DOS RIOS,2.339723768,7540.671642,100,8.996702779,16.39863427,30.56994819,10.50400377,41.07395195,3.16611713,11.83815029,99.9522369,8.928066534,85.5,4
1017,SAN JOSESAN JOSEURUCA,SAN JOSE,SAN JOSE,URUCA,4.034302759,3799.760479,100,38.83058471,28.40078164,24.12639834,8.545727136,32.67212548,3.654480452,8.574521232,99.49934438,8.242693312,64.4,3
1018,SAN JOSESAN JOSEMATA REDONDA,SAN JOSE,SAN JOSE,MATA REDONDA,3.426628302,2258.967391,100,9.308600337,14.8682786,32.84991568,16.02023609,48.87015177,2.796964587,12.21102997,99.79260283,7.722663081,92.2,4
1019,SAN JOSESAN JOSEPAVAS,SAN JOSE,SAN JOSE,PAVAS,4.234527687,7642.826552,100,22.64199435,23.63835033,27.69468003,7.56617836,35.26085839,3.65309689,9.188492607,99.59073031,8.941522781,72.1,3
1021,SAN JOSEESCAZUESCAZU,SAN JOSE,ESCAZU,ESCAZU,3.431721195,2736.073059,100,18.25574874,20.06008011,29.08020191,9.899046551,38.97924846,3.341839596,10.21369968,98.29883754,7.914278981,90.5,4
1022,SAN JOSEESCAZUSAN ANTONIO,SAN JOSE,ESCAZU,SAN ANTONIO,3.011197892,1327.486757,98.17770684,21.21546961,22.21335462,23.07813733,8.524072612,31.60220994,3.551539069,9.06231519,97.38890691,7.191042777,77.6,4
1023,SAN JOSEESCAZUSAN RAFAEL,SAN JOSE,ESCAZU,SAN RAFAEL,2.859753312,1674.618902,100,9.455174402,19.56215011,22.44162583,9.75785529,32.19948112,3.162294609,12.21653421,99.37427241,7.423340897,99.5,4
1031,SAN JOSEDESAMPARADOSDESAMPARADOS,SAN JOSE,DESAMPARADOS,DESAMPARADOS,4.820634821,11176.89769,100,14.94799406,20.41870903,31.15403665,9.886082219,41.04011887,3.344725111,9.971002428,99.84960898,9.321604221,74,3
1032,SAN JOSEDESAMPARADOSSAN MIGUEL,SAN JOSE,DESAMPARADOS,SAN MIGUEL,3.883071553,1503.782506,94.97563276,18.51088202,24.3169313,25.10882016,7.663230241,32.7720504,3.639404353,8.680648236,97.82379782,7.315738884,64.9,3
1033,SAN JOSEDESAMPARADOSSAN JUAN DE DIOS,SAN JOSE,DESAMPARADOS,SAN JUAN DE DIOS,3.574042449,6537.248322,100,22.60261018,25.7635645,25.40192926,7.546812937,32.9487422,3.684509173,8.212888077,99.03920061,8.78527161,62.7,3
1034,SAN JOSEDESAMPARADOSSAN RAFAEL ARRIBA,SAN JOSE,DESAMPARADOS,SAN RAFAEL ARRIBA,3.796324194,4907.395498,100,17.21174505,22.47411873,23.96753402,8.737168775,32.70470279,3.480783003,9.083707257,99.3207181,8.498498632,73.1,3
1035,SAN JOSEDESAMPARADOSSAN ANTONIO,SAN JOSE,DESAMPARADOS,SAN ANTONIO,2.876771146,4654.066986,100,9.693372898,18.49491107,27.06890867,11.07814045,38.14704913,3.202769535,10.87855114,99.93324433,8.445496737,82.2,4
1036,SAN JOSEDESAMPARADOSFRAILES,SAN JOSE,DESAMPARADOS,FRAILES,4.158004158,193.6344969,13.04347826,32.83160865,24.60233298,16.9332079,10.06585136,26.99905927,3.531514581,7.372025955,86.63461538,5.265972345,63.9,3
1037,SAN JOSEDESAMPARADOSPATARRA,SAN JOSE,DESAMPARADOS,PATARRA,3.792822186,750.6926952,86.82996393,24.65202598,26.03808405,21.15682029,7.361583668,28.51840396,3.665944943,8.231643357,96.64366374,6.620996374,66.9,3
1038,SAN JOSEDESAMPARADOSSAN CRISTOBAL,SAN JOSE,DESAMPARADOS,SAN CRISTOBAL,2.309782609,154.7147385,0,33.42749529,27.29833547,16.19585687,6.026365348,22.22222222,3.677024482,7.303657695,82.92919496,5.041583025,64.4,3
1039,SAN JOSEDESAMPARADOSROSARIO,SAN JOSE,DESAMPARADOS,ROSARIO,1.996805112,210.3542234,0,31.99554069,26.13341969,19.28651059,10.36789298,29.65440357,3.441471572,7.186026201,86.99095023,5.348792888,58.6,2
1041,SAN JOSEPURISCALSANTIAGO,SAN JOSE,PURISCAL,SANTIAGO,2.715298886,332.9091961,65.41000695,16.26904283,20.7609451,28.37022133,9.11181374,37.48203507,3.288013797,9.634692584,98.02440442,5.807869768,70.1,3
1042,SAN JOSEPURISCALMERCEDES SUR,SAN JOSE,PURISCAL,MERCEDES SUR,2.702702703,30.73295961,0,31.23957754,22.22979884,21.45636465,10.89494163,32.35130628,3.259032796,8.024713151,85.34385569,3.425335682,57.5,2
1043,SAN JOSEPURISCALBARBACOAS,SAN JOSE,PURISCAL,BARBACOAS,3.140613847,193.3996857,5.525460455,23.47988775,23.13109426,20.95416277,7.296538821,28.25070159,3.453695042,8.073793103,90.86629002,5.264758958,63.9,3
1044,SAN JOSEPURISCALGRIFO ALTO,SAN JOSE,PURISCAL,GRIFO ALTO,3.163017032,45.77846631,0,32.9512894,21.99661591,18.33810888,9.742120344,28.08022923,3.386819484,7.55907173,79.25072046,3.823813813,53.2,2
1045,SAN JOSEPURISCALSAN RAFAEL,SAN JOSE,PURISCAL,SAN RAFAEL,2.773497689,124.1032999,0,24.31941924,18.55491329,24.68239564,9.618874773,34.30127042,3.139745917,7.957805907,95.81818182,4.821114283,60.9,2
1046,SAN JOSEPURISCALCANDELARITA,SAN JOSE,PURISCAL,CANDELARITA,1.871101871,58.27922078,0,34.10852713,22.56267409,19.63824289,9.043927649,28.68217054,3.710594315,7.077922078,86.71875,4.065245611,58,2
1047,SAN JOSEPURISCALDESAMPARADITOS,SAN JOSE,PURISCAL,DESAMPARADITOS,1.123595506,100.3012048,0,20.89552239,18.61861862,18.4079602,5.472636816,23.88059701,3.313432836,9.476190476,95.45454545,4.608177707,50.2,2
1048,SAN JOSEPURISCALSAN ANTONIO,SAN JOSE,PURISCAL,SAN ANTONIO,4.158907511,229.7105729,0,22.94065545,23.425045,20.28343667,10.09743136,30.38086802,3.443755536,8.561790247,97.05619982,5.436820138,65.1,3
1049,SAN JOSEPURISCALCHIRES,SAN JOSE,PURISCAL,CHIRES,5.05952381,13.70562966,0,33.4412082,24.48036952,14.2394822,12.40560949,26.64509169,3.269687163,6.389405204,87.89878988,2.617806673,39.4,1
1051,SAN JOSETARRAZUSAN MARCOS,SAN JOSE,TARRAZU,SAN MARCOS,3.173354314,237.5326836,67.84749325,24.88858416,25.67797458,22.24888584,10.3531025,32.60198834,3.425094275,7.998688697,92.4600417,5.470305229,59.4,2
1052,SAN JOSETARRAZUSAN LORENZO,SAN JOSE,TARRAZU,SAN LORENZO,2.492211838,22.63548321,32.11197087,43.34415584,29.08511607,14.8538961,10.79545455,25.64935065,3.565746753,6.729372937,75.10407993,3.119518729,46.9,1
1053,SAN JOSETARRAZUSAN CARLOS,SAN JOSE,TARRAZU,SAN CARLOS,1.13085622,30.87587669,0,49.68944099,33.59746434,9.937888199,5.383022774,15.32091097,3.919254658,5.644480519,68.43220339,3.429975189,40.2,1
1061,SAN JOSEASERRIASERRI,SAN JOSE,ASERRI,ASERRI,3.428808634,1868.190855,94.20737115,20.28007002,24.47589656,25.78144536,7.601900475,33.38334584,3.517504376,8.804407959,97.96073464,7.532725784,65.1,3
1062,SAN JOSEASERRITARBACA,SAN JOSE,ASERRI,TARBACA,4.266211604,103.7302726,0,28.25,24.20470263,16.25,12,28.25,3.615,7.654064272,83.20610687,4.641793997,58.6,2
1063,SAN JOSEASERRIVUELTA DE JORCO,SAN JOSE,ASERRI,VUELTA DE JORCO,2.978376173,291.1738351,35.39006001,29.19746568,23.74211417,20.32734952,9.926082365,30.25343189,3.431362196,7.659457334,93.1126535,5.67392046,58.4,2
1064,SAN JOSEASERRISAN GABRIEL,SAN JOSE,ASERRI,SAN GABRIEL,2.262644188,514.953271,18.29731067,26.61996497,25.40834846,22.35843549,9.340338587,31.69877408,3.529480444,7.661572052,92.28504122,6.244076161,60.8,2
